"id","motivation1","motivation2","motivation3","motivation4","motivation5"
10005216,2,2,2,2,2
10033216,3,NA,3,NA,NA
10004216,1,2,1,2,2
10008216,1,2,1,2,NA
10026216,3,NA,3,NA,NA
10014216,2,NA,2,NA,2
10021216,2,2,2,2,2
10013216,2,NA,2,NA,1
10035216,2,3,2,3,NA
10015216,2,2,2,2,2
10031216,1,1,1,1,NA
10007216,2,1,2,1,2
10010216,2,2,2,2,NA
10020216,2,3,2,3,1
10002216,1,1,1,1,4
10011216,2,2,2,2,NA
10023216,1,1,1,1,3
10028216,1,1,1,1,1
10028216,1,1,1,1,1
10034216,3,2,3,2,2
10003216,2,NA,2,NA,NA
10029216,2,2,2,2,5
10022216,1,3,1,3,NA
10006216,1,1,1,1,NA
10009216,1,1,1,1,2
10018216,1,2,1,2,4
10018216,1,2,1,2,3
10018216,1,2,1,2,4
10018216,1,2,1,2,3
10018216,1,2,1,2,4
10018216,1,2,1,2,3
10018216,1,2,1,2,4
10018216,1,2,1,2,3
10027216,1,1,1,1,1
10025216,2,2,2,2,2
10019216,1,NA,1,NA,NA
10032216,3,NA,3,NA,NA
10017216,3,NA,3,NA,3
